trip_id,timestamp,pickup_district,driver_id,driver_status,trip_duration_mins,fare_amount_euros
TRIP_10992,2026-05-29 22:11:25.301943,Prenzlauer Berg,DRV_130,Passengers_Onboard,18,27.11
TRIP_12834,2026-05-29 22:13:25.301943,Mitte,DRV_109,En Route,0,0.0
TRIP_10718,2026-05-29 22:19:25.301943,Friedrichshain-Kreuzberg,DRV_135,Passengers_Onboard,24,32.47
TRIP_10708,2026-05-29 22:24:25.301943,Friedrichshain-Kreuzberg,DRV_146,Passengers_Onboard,28,35.8
TRIP_11431,2026-05-29 22:26:25.301943,Friedrichshain-Kreuzberg,DRV_118,Idle,0,0.0
TRIP_13224,2026-05-29 22:26:25.301943,Prenzlauer Berg,DRV_100,Passengers_Onboard,22,32.52
TRIP_14793,2026-05-29 22:43:25.301943,Mitte,DRV_105,Passengers_Onboard,12,17.65
TRIP_14048,2026-05-29 22:48:25.301943,Mitte,DRV_122,Idle,0,0.0
TRIP_14487,2026-05-29 22:49:25.301943,Friedrichshain-Kreuzberg,DRV_133,Passengers_Onboard,16,22.5
TRIP_12451,2026-05-29 23:05:25.301943,Prenzlauer Berg,DRV_140,Passengers_Onboard,13,18.77
TRIP_13893,2026-05-29 23:22:25.301943,Friedrichshain-Kreuzberg,DRV_107,Passengers_Onboard,22,30.17
TRIP_11835,2026-05-29 23:28:25.301943,Mitte,DRV_132,Idle,0,0.0
TRIP_12756,2026-05-29 23:35:25.301943,Friedrichshain-Kreuzberg,DRV_144,Passengers_Onboard,4,8.35
TRIP_10170,2026-05-29 23:49:25.301943,Friedrichshain-Kreuzberg,DRV_141,Passengers_Onboard,31,41.5
TRIP_10874,2026-05-29 23:51:25.301943,Friedrichshain-Kreuzberg,DRV_136,Passengers_Onboard,18,27.8
TRIP_12460,2026-05-30 00:01:25.301943,Prenzlauer Berg,DRV_128,En Route,0,0.0
TRIP_14906,2026-05-30 00:09:25.301943,Mitte,DRV_114,Passengers_Onboard,18,29.85
TRIP_12564,2026-05-30 00:12:25.301943,Mitte,DRV_126,Passengers_Onboard,20,31.12
TRIP_12342,2026-05-30 00:13:25.301943,Friedrichshain-Kreuzberg,DRV_134,Passengers_Onboard,16,23.2
TRIP_12551,2026-05-30 00:16:25.301943,Mitte,DRV_105,Idle,0,0.0
TRIP_10934,2026-05-30 00:26:25.301943,Friedrichshain-Kreuzberg,DRV_121,Passengers_Onboard,7,8.4
TRIP_13616,2026-05-30 00:28:25.301943,Mitte,DRV_116,Passengers_Onboard,21,30.63
TRIP_11969,2026-05-30 00:32:25.301943,Mitte,DRV_114,Idle,0,0.0
TRIP_12439,2026-05-30 00:39:25.301943,Prenzlauer Berg,DRV_147,Passengers_Onboard,17,22.33
TRIP_14611,2026-05-30 00:44:25.301943,Prenzlauer Berg,DRV_146,Idle,0,0.0
TRIP_13109,2026-05-30 00:47:25.301943,Friedrichshain-Kreuzberg,DRV_125,Passengers_Onboard,13,20.62
TRIP_10480,2026-05-30 00:56:25.301943,Mitte,DRV_111,Passengers_Onboard,13,19.57
TRIP_12214,2026-05-30 00:58:25.301943,Friedrichshain-Kreuzberg,DRV_116,Idle,0,0.0
TRIP_13801,2026-05-30 00:59:25.301943,Prenzlauer Berg,DRV_140,Passengers_Onboard,10,19.39
TRIP_13992,2026-05-30 01:14:25.301943,Friedrichshain-Kreuzberg,DRV_108,Passengers_Onboard,16,21.1
TRIP_13287,2026-05-30 01:20:25.301943,Friedrichshain-Kreuzberg,DRV_113,Passengers_Onboard,7,12.23
TRIP_13796,2026-05-30 01:24:25.301943,Mitte,DRV_127,Idle,0,0.0
TRIP_13927,2026-05-30 01:39:25.301943,Mitte,DRV_137,Idle,0,0.0
TRIP_11934,2026-05-30 01:41:25.301943,Friedrichshain-Kreuzberg,DRV_119,Passengers_Onboard,8,10.3
TRIP_12641,2026-05-30 01:46:25.301943,Prenzlauer Berg,DRV_148,Passengers_Onboard,22,28.48
TRIP_12604,2026-05-30 01:56:25.301943,Friedrichshain-Kreuzberg,DRV_139,Idle,0,0.0
TRIP_13041,2026-05-30 01:59:25.301943,Friedrichshain-Kreuzberg,DRV_101,En Route,0,0.0
TRIP_13978,2026-05-30 02:12:25.301943,Friedrichshain-Kreuzberg,DRV_119,Idle,0,0.0
TRIP_13026,2026-05-30 02:28:25.301943,Prenzlauer Berg,DRV_112,Passengers_Onboard,25,38.04
TRIP_12493,2026-05-30 02:28:25.301943,Prenzlauer Berg,DRV_132,Passengers_Onboard,7,14.77
TRIP_10247,2026-05-30 02:30:25.301943,Prenzlauer Berg,DRV_146,Passengers_Onboard,20,28.33
TRIP_11123,2026-05-30 02:33:25.301943,Mitte,DRV_112,Passengers_Onboard,18,21.88
TRIP_10924,2026-05-30 02:34:25.301943,Prenzlauer Berg,DRV_144,Passengers_Onboard,18,24.57
TRIP_13268,2026-05-30 02:38:25.301943,Mitte,DRV_131,Passengers_Onboard,10,16.35
TRIP_13438,2026-05-30 02:52:25.301943,Friedrichshain-Kreuzberg,DRV_125,Passengers_Onboard,19,24.64
TRIP_10760,2026-05-30 03:05:25.301943,Friedrichshain-Kreuzberg,DRV_116,Passengers_Onboard,10,15.75
TRIP_10464,2026-05-30 03:06:25.301943,Prenzlauer Berg,DRV_126,Passengers_Onboard,7,13.78
TRIP_12067,2026-05-30 03:33:25.301943,Friedrichshain-Kreuzberg,DRV_149,Passengers_Onboard,26,35.23
TRIP_14329,2026-05-30 03:33:25.301943,Mitte,DRV_138,Passengers_Onboard,13,19.1
TRIP_10757,2026-05-30 03:35:25.301943,Prenzlauer Berg,DRV_111,Passengers_Onboard,20,25.35
TRIP_10721,2026-05-30 03:35:25.301943,Mitte,DRV_145,Idle,0,0.0
TRIP_13233,2026-05-30 04:14:25.301943,Prenzlauer Berg,DRV_101,Passengers_Onboard,14,24.82
TRIP_11615,2026-05-30 04:15:25.301943,Prenzlauer Berg,DRV_127,Passengers_Onboard,12,21.43
TRIP_10021,2026-05-30 04:16:25.301943,Mitte,DRV_115,Passengers_Onboard,8,11.28
TRIP_12960,2026-05-30 04:16:25.301943,Friedrichshain-Kreuzberg,DRV_144,Passengers_Onboard,20,28.35
TRIP_14217,2026-05-30 04:18:25.301943,Prenzlauer Berg,DRV_133,En Route,0,0.0
TRIP_14168,2026-05-30 04:25:25.301943,Prenzlauer Berg,DRV_113,Idle,0,0.0
TRIP_13407,2026-05-30 04:27:25.301943,Friedrichshain-Kreuzberg,DRV_132,Passengers_Onboard,13,20.22
TRIP_13856,2026-05-30 04:28:25.301943,Prenzlauer Berg,DRV_101,Passengers_Onboard,17,22.36
TRIP_10496,2026-05-30 04:31:25.301943,Mitte,DRV_141,Passengers_Onboard,25,35.93
TRIP_14518,2026-05-30 04:32:25.301943,Friedrichshain-Kreuzberg,DRV_103,Idle,0,0.0
TRIP_11467,2026-05-30 04:40:25.301943,Mitte,DRV_143,Idle,0,0.0
TRIP_11710,2026-05-30 04:51:25.301943,Prenzlauer Berg,DRV_149,En Route,0,0.0
TRIP_12031,2026-05-30 04:53:25.301943,Mitte,DRV_118,En Route,0,0.0
TRIP_11479,2026-05-30 05:01:25.301943,Friedrichshain-Kreuzberg,DRV_134,Passengers_Onboard,17,22.07
TRIP_11680,2026-05-30 05:09:25.301943,Mitte,DRV_118,Passengers_Onboard,19,28.37
TRIP_10879,2026-05-30 05:10:25.301943,Mitte,DRV_110,Passengers_Onboard,10,17.28
TRIP_11493,2026-05-30 05:14:25.301943,Prenzlauer Berg,DRV_145,En Route,0,0.0
TRIP_13633,2026-05-30 05:17:25.301943,Mitte,DRV_107,En Route,0,0.0
TRIP_13171,2026-05-30 05:32:25.301943,Prenzlauer Berg,DRV_109,Passengers_Onboard,8,12.93
TRIP_11296,2026-05-30 05:33:25.301943,Mitte,DRV_123,Passengers_Onboard,9,14.73
TRIP_10671,2026-05-30 05:38:25.301943,Mitte,DRV_147,Passengers_Onboard,21,32.15
TRIP_10534,2026-05-30 05:40:25.301943,Friedrichshain-Kreuzberg,DRV_133,En Route,0,0.0
TRIP_10275,2026-05-30 05:41:25.301943,Mitte,DRV_143,Passengers_Onboard,19,27.8
TRIP_14284,2026-05-30 05:42:25.301943,Mitte,DRV_123,Passengers_Onboard,5,9.04
TRIP_10002,2026-05-30 05:47:25.301943,Mitte,DRV_142,Passengers_Onboard,11,18.99
TRIP_10562,2026-05-30 06:03:25.301943,Prenzlauer Berg,DRV_132,Passengers_Onboard,16,21.39
TRIP_14615,2026-05-30 06:09:25.301943,Prenzlauer Berg,DRV_114,Passengers_Onboard,25,35.8
TRIP_12088,2026-05-30 06:19:25.301943,Mitte,DRV_129,En Route,0,0.0
TRIP_12459,2026-05-30 06:21:25.301943,Mitte,DRV_115,En Route,0,0.0
TRIP_12454,2026-05-30 06:26:25.301943,Friedrichshain-Kreuzberg,DRV_147,En Route,0,0.0
TRIP_11430,2026-05-30 06:49:25.301943,Friedrichshain-Kreuzberg,DRV_107,En Route,0,0.0
TRIP_13953,2026-05-30 06:50:25.301943,Prenzlauer Berg,DRV_107,Passengers_Onboard,19,29.51
TRIP_14471,2026-05-30 06:56:25.301943,Mitte,DRV_130,Passengers_Onboard,20,25.63
TRIP_14344,2026-05-30 07:02:25.301943,Mitte,DRV_125,Passengers_Onboard,11,18.94
TRIP_11601,2026-05-30 07:18:25.301943,Mitte,DRV_109,En Route,0,0.0
TRIP_12526,2026-05-30 07:22:25.301943,Prenzlauer Berg,DRV_101,En Route,0,0.0
TRIP_12517,2026-05-30 07:23:25.301943,Mitte,DRV_142,Passengers_Onboard,9,16.55
TRIP_12648,2026-05-30 07:35:25.301943,Prenzlauer Berg,DRV_102,Passengers_Onboard,21,30.63
TRIP_12116,2026-05-30 07:41:25.301943,Mitte,DRV_138,En Route,0,0.0
TRIP_12948,2026-05-30 07:54:25.301943,Mitte,DRV_121,Passengers_Onboard,7,11.9
TRIP_14318,2026-05-30 07:54:25.301943,Prenzlauer Berg,DRV_128,En Route,0,0.0
TRIP_12290,2026-05-30 07:55:25.301943,Prenzlauer Berg,DRV_136,En Route,0,0.0
TRIP_10099,2026-05-30 08:02:25.301943,Mitte,DRV_101,Passengers_Onboard,19,25.0
TRIP_12768,2026-05-30 08:07:25.301943,Friedrichshain-Kreuzberg,DRV_115,Passengers_Onboard,15,20.36
TRIP_12203,2026-05-30 08:14:25.301943,Mitte,DRV_138,Passengers_Onboard,21,29.98
TRIP_13567,2026-05-30 08:20:25.301943,Mitte,DRV_119,Passengers_Onboard,26,36.78
TRIP_10969,2026-05-30 08:22:25.301943,Friedrichshain-Kreuzberg,DRV_146,Idle,0,0.0
TRIP_10106,2026-05-30 08:23:25.301943,Prenzlauer Berg,DRV_111,Idle,0,0.0
TRIP_13642,2026-05-30 08:26:25.301943,Prenzlauer Berg,DRV_131,Passengers_Onboard,15,24.42
TRIP_10086,2026-05-30 08:28:25.301943,Friedrichshain-Kreuzberg,DRV_118,Passengers_Onboard,3,6.0
TRIP_12656,2026-05-30 09:05:25.301943,Prenzlauer Berg,DRV_121,En Route,0,0.0
TRIP_10199,2026-05-30 09:06:25.301943,Mitte,DRV_125,En Route,0,0.0
TRIP_10457,2026-05-30 09:07:25.301943,Friedrichshain-Kreuzberg,DRV_140,Idle,0,0.0
TRIP_11210,2026-05-30 09:09:25.301943,Friedrichshain-Kreuzberg,DRV_136,Passengers_Onboard,26,36.59
TRIP_10789,2026-05-30 09:09:25.301943,Prenzlauer Berg,DRV_145,Passengers_Onboard,21,30.41
TRIP_13581,2026-05-30 09:27:25.301943,Friedrichshain-Kreuzberg,DRV_134,Passengers_Onboard,11,17.54
TRIP_10594,2026-05-30 09:28:25.301943,Prenzlauer Berg,DRV_148,Passengers_Onboard,17,30.04
TRIP_14714,2026-05-30 09:35:25.301943,Mitte,DRV_113,Passengers_Onboard,18,21.6
TRIP_14029,2026-05-30 09:36:25.301943,Mitte,DRV_141,Passengers_Onboard,19,23.7
TRIP_14012,2026-05-30 09:45:25.301943,Prenzlauer Berg,DRV_136,Passengers_Onboard,21,28.63
TRIP_14744,2026-05-30 09:45:25.301943,Friedrichshain-Kreuzberg,DRV_149,En Route,0,0.0
TRIP_11434,2026-05-30 10:07:25.301943,Friedrichshain-Kreuzberg,DRV_121,En Route,0,0.0
TRIP_12977,2026-05-30 10:12:25.301943,Prenzlauer Berg,DRV_114,Idle,0,0.0
TRIP_13954,2026-05-30 10:12:25.301943,Prenzlauer Berg,DRV_126,Passengers_Onboard,10,16.12
TRIP_12195,2026-05-30 10:23:25.301943,Mitte,DRV_118,Idle,0,0.0
TRIP_14679,2026-05-30 10:24:25.301943,Friedrichshain-Kreuzberg,DRV_111,Passengers_Onboard,18,26.37
TRIP_14594,2026-05-30 10:27:25.301943,Prenzlauer Berg,DRV_128,Passengers_Onboard,15,23.85
TRIP_14434,2026-05-30 10:28:25.301943,Mitte,DRV_140,Passengers_Onboard,17,26.12
TRIP_10589,2026-05-30 10:37:25.301943,Prenzlauer Berg,DRV_120,Passengers_Onboard,12,16.51
TRIP_10368,2026-05-30 10:41:25.301943,Prenzlauer Berg,DRV_137,Passengers_Onboard,15,22.98
TRIP_12006,2026-05-30 10:52:25.301943,Prenzlauer Berg,DRV_120,En Route,0,0.0
TRIP_10787,2026-05-30 10:54:25.301943,Mitte,DRV_136,Passengers_Onboard,23,32.8
TRIP_13632,2026-05-30 10:56:25.301943,Mitte,DRV_107,Passengers_Onboard,10,17.0
TRIP_13759,2026-05-30 10:58:25.301943,Mitte,DRV_146,Passengers_Onboard,11,15.32
TRIP_12812,2026-05-30 11:04:25.301943,Mitte,DRV_116,Passengers_Onboard,13,18.07
TRIP_14608,2026-05-30 11:34:25.301943,Prenzlauer Berg,DRV_133,Passengers_Onboard,19,29.71
TRIP_10875,2026-05-30 11:41:25.301943,Mitte,DRV_147,Passengers_Onboard,20,25.27
TRIP_10412,2026-05-30 11:45:25.301943,Prenzlauer Berg,DRV_145,Idle,0,0.0
TRIP_14826,2026-05-30 11:55:25.301943,Prenzlauer Berg,DRV_119,En Route,0,0.0
TRIP_12664,2026-05-30 11:56:25.301943,Friedrichshain-Kreuzberg,DRV_124,Passengers_Onboard,8,13.25
TRIP_12670,2026-05-30 12:06:25.301943,Mitte,DRV_128,En Route,0,0.0
TRIP_11845,2026-05-30 12:07:25.301943,Mitte,DRV_103,Idle,0,0.0
TRIP_11405,2026-05-30 12:15:25.301943,Friedrichshain-Kreuzberg,DRV_146,Passengers_Onboard,12,16.64
TRIP_11051,2026-05-30 12:19:25.301943,Friedrichshain-Kreuzberg,DRV_144,Passengers_Onboard,16,23.46
TRIP_11855,2026-05-30 12:19:25.301943,Friedrichshain-Kreuzberg,DRV_107,Idle,0,0.0
TRIP_10050,2026-05-30 12:34:25.301943,Prenzlauer Berg,DRV_136,Passengers_Onboard,7,12.63
TRIP_11712,2026-05-30 12:46:25.301943,Friedrichshain-Kreuzberg,DRV_107,Passengers_Onboard,27,36.63
TRIP_13952,2026-05-30 12:50:25.301943,Mitte,DRV_136,En Route,0,0.0
TRIP_13648,2026-05-30 12:50:25.301943,Prenzlauer Berg,DRV_125,Passengers_Onboard,14,23.33
TRIP_12874,2026-05-30 12:53:25.301943,Mitte,DRV_143,Passengers_Onboard,13,17.32
TRIP_12903,2026-05-30 13:07:25.301943,Friedrichshain-Kreuzberg,DRV_119,Idle,0,0.0
TRIP_11740,2026-05-30 13:11:25.301943,Prenzlauer Berg,DRV_128,Passengers_Onboard,19,25.24
TRIP_10231,2026-05-30 13:13:25.301943,Prenzlauer Berg,DRV_130,En Route,0,0.0
TRIP_14584,2026-05-30 13:14:25.301943,Friedrichshain-Kreuzberg,DRV_127,Passengers_Onboard,14,22.18
TRIP_12147,2026-05-30 13:19:25.301943,Prenzlauer Berg,DRV_144,Passengers_Onboard,18,25.98
TRIP_14917,2026-05-30 13:23:25.301943,Mitte,DRV_115,Passengers_Onboard,20,32.41
TRIP_12920,2026-05-30 13:23:25.301943,Mitte,DRV_149,Passengers_Onboard,11,14.93
TRIP_10839,2026-05-30 13:31:25.301943,Prenzlauer Berg,DRV_149,Passengers_Onboard,13,18.6
TRIP_11877,2026-05-30 13:48:25.301943,Prenzlauer Berg,DRV_139,Passengers_Onboard,11,17.76
TRIP_11338,2026-05-30 13:49:25.301943,Mitte,DRV_127,Passengers_Onboard,3,6.53
TRIP_10917,2026-05-30 14:00:25.301943,Mitte,DRV_136,Passengers_Onboard,16,24.2
TRIP_12774,2026-05-30 14:14:25.301943,Prenzlauer Berg,DRV_146,Idle,0,0.0
TRIP_13492,2026-05-30 14:23:25.301943,Prenzlauer Berg,DRV_114,Idle,0,0.0
TRIP_14927,2026-05-30 14:25:25.301943,Friedrichshain-Kreuzberg,DRV_140,Passengers_Onboard,9,15.34
TRIP_14743,2026-05-30 14:28:25.301943,Friedrichshain-Kreuzberg,DRV_142,Passengers_Onboard,18,26.55
TRIP_13219,2026-05-30 14:29:25.301943,Friedrichshain-Kreuzberg,DRV_103,Idle,0,0.0
TRIP_12051,2026-05-30 14:36:25.301943,Mitte,DRV_141,Idle,0,0.0
TRIP_13220,2026-05-30 14:50:25.301943,Prenzlauer Berg,DRV_137,En Route,0,0.0
TRIP_10494,2026-05-30 14:56:25.301943,Prenzlauer Berg,DRV_129,Passengers_Onboard,16,25.14
TRIP_11703,2026-05-30 14:56:25.301943,Friedrichshain-Kreuzberg,DRV_128,Passengers_Onboard,14,22.19
TRIP_13526,2026-05-30 15:15:25.301943,Prenzlauer Berg,DRV_122,Passengers_Onboard,20,28.16
TRIP_13720,2026-05-30 15:18:25.301943,Prenzlauer Berg,DRV_101,Passengers_Onboard,20,27.49
TRIP_12213,2026-05-30 15:22:25.301943,Mitte,DRV_119,Passengers_Onboard,14,20.36
TRIP_14194,2026-05-30 15:34:25.301943,Mitte,DRV_116,Passengers_Onboard,8,13.4
TRIP_14131,2026-05-30 15:47:25.301943,Prenzlauer Berg,DRV_129,Passengers_Onboard,14,19.57
TRIP_11635,2026-05-30 16:08:25.301943,Friedrichshain-Kreuzberg,DRV_109,Passengers_Onboard,24,34.32
TRIP_14171,2026-05-30 16:19:25.301943,Friedrichshain-Kreuzberg,DRV_127,En Route,0,0.0
TRIP_11924,2026-05-30 16:27:25.301943,Mitte,DRV_145,Idle,0,0.0
TRIP_14295,2026-05-30 16:44:25.301943,Prenzlauer Berg,DRV_107,Passengers_Onboard,11,15.75
TRIP_14929,2026-05-30 16:46:25.301943,Mitte,DRV_104,Passengers_Onboard,10,15.4
TRIP_11839,2026-05-30 16:51:25.301943,Friedrichshain-Kreuzberg,DRV_137,Passengers_Onboard,25,33.97
TRIP_13955,2026-05-30 16:56:25.301943,Mitte,DRV_146,Idle,0,0.0
TRIP_11196,2026-05-30 16:58:25.301943,Mitte,DRV_128,Passengers_Onboard,20,25.92
TRIP_10876,2026-05-30 16:58:25.301943,Friedrichshain-Kreuzberg,DRV_140,En Route,0,0.0
TRIP_10814,2026-05-30 17:09:25.301943,Friedrichshain-Kreuzberg,DRV_144,Passengers_Onboard,20,29.05
TRIP_13238,2026-05-30 17:16:25.301943,Friedrichshain-Kreuzberg,DRV_105,Passengers_Onboard,24,33.07
TRIP_14795,2026-05-30 17:23:25.301943,Mitte,DRV_101,Idle,0,0.0
TRIP_12473,2026-05-30 17:27:25.301943,Mitte,DRV_141,Passengers_Onboard,23,32.5
TRIP_10952,2026-05-30 17:48:25.301943,Friedrichshain-Kreuzberg,DRV_126,Passengers_Onboard,11,14.23
TRIP_10082,2026-05-30 17:52:25.301943,Mitte,DRV_130,Passengers_Onboard,13,18.17
TRIP_14811,2026-05-30 17:56:25.301943,Prenzlauer Berg,DRV_143,Passengers_Onboard,15,22.95
TRIP_12142,2026-05-30 17:58:25.301943,Mitte,DRV_144,Passengers_Onboard,12,20.39
TRIP_11260,2026-05-30 18:12:25.301943,Mitte,DRV_136,Passengers_Onboard,22,27.07
TRIP_12319,2026-05-30 18:14:25.301943,Friedrichshain-Kreuzberg,DRV_127,Passengers_Onboard,14,20.83
TRIP_13714,2026-05-30 18:26:25.301943,Prenzlauer Berg,DRV_133,Passengers_Onboard,16,27.04
TRIP_11336,2026-05-30 18:26:25.301943,Friedrichshain-Kreuzberg,DRV_110,Passengers_Onboard,16,24.85
TRIP_11767,2026-05-30 18:29:25.301943,Prenzlauer Berg,DRV_140,Passengers_Onboard,12,19.19
TRIP_11546,2026-05-30 18:32:25.301943,Mitte,DRV_119,Idle,0,0.0
TRIP_14561,2026-05-30 18:34:25.301943,Prenzlauer Berg,DRV_134,Passengers_Onboard,15,20.64
TRIP_14377,2026-05-30 18:35:25.301943,Prenzlauer Berg,DRV_139,Passengers_Onboard,13,21.59
